point,x_bohr,y_bohr,z_bohr,arclength_bohr,density_scf,density_frag,dengrad_mag,laplacian_scf
47,1.67536108,3.00279654,0.33048829,0.17233544,2.0872772628e+01,2.1080902833e+01,3.1320300439e+02,1.3652868992e+03
48,1.67607029,3.00631980,0.32976134,0.17600215,1.9757241239e+01,1.9950780530e+01,2.9543404585e+02,1.3587086794e+03
49,1.67677950,3.00984305,0.32903438,0.17966886,1.8704998085e+01,1.8884462750e+01,2.7867391662e+02,1.3458105423e+03
50,1.67748871,3.01336631,0.32830743,0.18333558,1.7712446440e+01,1.7878336948e+01,2.6286497043e+02,1.3276339661e+03
51,1.67819792,3.01688957,0.32758048,0.18700229,1.6776201153e+01,1.6929002658e+01,2.4795299363e+02,1.3050848597e+03
52,1.67890712,3.02041282,0.32685353,0.19066900,1.5893070638e+01,1.6033253397e+01,2.3388691157e+02,1.2789506434e+03
53,1.67961633,3.02393608,0.32612658,0.19433571,1.5060037035e+01,1.5188056683e+01,2.2061846628e+02,1.2499147927e+03
54,1.68032554,3.02745934,0.32539962,0.19800242,1.4274261964e+01,1.4390560034e+01,2.0810230269e+02,1.2185702653e+03
55,1.68103475,3.03098259,0.32467267,0.20166913,1.3533068945e+01,1.3638073255e+01,1.9629568331e+02,1.1854306289e+03
56,1.68174396,3.03450585,0.32394572,0.20533584,1.2833926752e+01,1.2928051685e+01,1.8515821853e+02,1.1509395461e+03
57,1.68245316,3.03802911,0.32321877,0.20900256,1.2174454367e+01,1.2258101349e+01,1.7465194134e+02,1.1154800041e+03
58,1.68316237,3.04155237,0.32249182,0.21266927,1.1552403059e+01,1.1625960872e+01,1.6474101776e+02,1.0793814240e+03
59,1.68387158,3.04507562,0.32176487,0.21633598,1.0965654184e+01,1.1029499373e+01,1.5539170871e+02,1.0429265675e+03
60,1.68458079,3.04859888,0.32103791,0.22000269,1.0412204124e+01,1.0466701264e+01,1.4657212669e+02,1.0063568556e+03
61,1.68528999,3.05212214,0.32031096,0.22366940,9.8901684230e+00,9.9356705580e+00,1.3825229895e+02,9.6987814805e+02
62,1.68599920,3.05564539,0.31958401,0.22733611,9.3977674425e+00,9.4346163838e+00,1.3040393631e+02,9.3366472856e+02
63,1.68670841,3.05916865,0.31885706,0.23100283,8.9333196072e+00,8.9618462208e+00,1.2300032340e+02,8.9786314413e+02
64,1.68741762,3.06269191,0.31813011,0.23466954,8.4952419701e+00,8.5157665579e+00,1.1601632555e+02,8.6259613027e+02
65,1.68812683,3.06621516,0.31740316,0.23833625,8.0820408899e+00,8.0948734984e+00,1.0942823841e+02,8.2796537766e+02
66,1.68883603,3.06973842,0.31667620,0.24200296,7.6923039788e+00,7.6977446472e+00,1.0321365805e+02,7.9405393962e+02
67,1.68954524,3.07326168,0.31594925,0.24566967,7.3247018144e+00,7.3230409231e+00,9.7351506642e+01,7.6092913084e+02
68,1.69025445,3.07678493,0.31522230,0.24933638,6.9779798479e+00,6.9694984129e+00,9.1821902449e+01,7.2864431777e+02
69,1.69096366,3.08030819,0.31449535,0.25300309,6.6509516994e+00,6.6359215981e+00,8.6606051677e+01,6.9724049954e+02
70,1.69167286,3.08383145,0.31376840,0.25666981,6.3425007279e+00,6.3211850311e+00,8.1686272584e+01,6.6674843892e+02
71,1.69238207,3.08735470,0.31304144,0.26033652,6.0515725050e+00,6.0242257227e+00,7.7045874505e+01,6.3718973282e+02
72,1.69309128,3.09087796,0.31231449,0.26400323,5.7771707571e+00,5.7440390742e+00,7.2669092596e+01,6.0857799806e+02
73,1.69380049,3.09440122,0.31158754,0.26766994,5.5183569673e+00,5.4796785296e+00,6.8541080736e+01,5.8092027190e+02
74,1.69450970,3.09792447,0.31086059,0.27133665,5.2742455338e+00,5.2302506926e+00,6.4647833781e+01,5.5421781464e+02
75,1.69521890,3.10144773,0.31013364,0.27500336,5.0439989926e+00,4.9949105064e+00,6.0976110979e+01,5.2846675752e+02
76,1.69592811,3.10497099,0.30940669,0.27867007,4.8268285602e+00,4.7728618537e+00,5.7513444072e+01,5.0365921427e+02
77,1.69663732,3.10849424,0.30867973,0.28233679,4.6219900073e+00,4.5633534051e+00,5.4248071373e+01,4.7978378583e+02
78,1.69734653,3.11201750,0.30795278,0.28600350,4.4287796458e+00,4.3656745565e+00,5.1168873390e+01,4.5682595470e+02
79,1.69805573,3.11554076,0.30722583,0.28967021,4.2465347306e+00,4.1791558921e+00,4.8265379058e+01,4.3476891309e+02
80,1.69876494,3.11906402,0.30649888,0.29333692,4.0746291301e+00,4.0031647936e+00,4.5527696434e+01,4.1359375741e+02
81,1.69947415,3.12258727,0.30577193,0.29700363,3.9124726401e+00,3.8371047909e+00,4.2946501773e+01,3.9328004822e+02
82,1.70018336,3.12611053,0.30504498,0.30067034,3.7595069418e+00,3.6804114597e+00,4.0512974957e+01,3.7380588936e+02
83,1.70089257,3.12963379,0.30431802,0.30433706,3.6152063013e+00,3.5325531773e+00,3.8218810524e+01,3.5514854330e+02
84,1.70160177,3.13315704,0.30359107,0.30800377,3.4790748047e+00,3.3930283295e+00,3.6056173587e+01,3.3728456671e+02
85,1.70231098,3.13668030,0.30286412,0.31167048,3.3506429789e+00,3.2613618790e+00,3.4017645996e+01,3.2018980336e+02
86,1.70302019,3.14020356,0.30213717,0.31533719,3.2294690998e+00,3.1371067482e+00,3.2096247195e+01,3.0383995469e+02
87,1.70372940,3.14372681,0.30141022,0.31900390,3.1151361909e+00,3.0198407680e+00,3.0285386367e+01,2.8821054709e+02
88,1.70443861,3.14725007,0.30068327,0.32267061,3.0072498840e+00,2.9091645177e+00,2.8578828551e+01,2.7327696974e+02
89,1.70514781,3.15077333,0.29995631,0.32633732,2.9054388963e+00,2.8047018430e+00,2.6970702137e+01,2.5901484160e+02
90,1.70585702,3.15429658,0.29922936,0.33000404,2.8093528287e+00,2.7060976186e+00,2.5455463830e+01,2.4539998415e+02
91,1.70656623,3.15781984,0.29850241,0.33367075,2.7186602891e+00,2.6130158604e+00,2.4027869168e+01,2.3240840942e+02
92,1.70727544,3.16134310,0.29777546,0.33733746,2.6330493092e+00,2.5251401689e+00,2.2682978886e+01,2.2001660731e+02
